wavelength(Angstrom),flux(erg/s/cm2),flux_smooth(erg/s/cm2)
3688.0,2.3365578960246696e-17,2.3684194295004136e-17
3689.0,2.2323713689552404e-17,2.4070370181419418e-17
3690.0,2.3100829858276406e-17,2.3392889407403787e-17
3691.0,2.621568699411621e-17,2.424036406910519e-17
3692.0,2.1958637715642538e-17,2.4809626457941734e-17
3693.0,2.7602949582915616e-17,2.3998969605305066e-17
3694.0,2.51700264415148e-17,2.2614987252662993e-17
3695.0,1.9047546975846472e-17,2.255433009834448e-17
3696.0,1.9295778827704857e-17,2.1355892628904177e-17
3697.0,2.1655349795612826e-17,2.120125783083229e-17
3698.0,2.1610763794922368e-17,2.0771147073361866e-17
3699.0,2.439685202466323e-17,2.2100009418705855e-17
3700.0,1.6896989277932022e-17,2.2397375885834993e-17
3701.0,2.594009391213486e-17,2.3541462625946886e-17
3702.0,2.3142181423520144e-17,2.4029633190612406e-17
3703.0,2.7331198699184925e-17,2.498490602974172e-17
3704.0,2.683770114099461e-17,2.4811088913264728e-17
3705.0,2.1673355203091827e-17,2.4354491832580357e-17
3706.0,2.507100576170854e-17,2.432496644779589e-17
3707.0,2.085919625638994e-17,2.482656049944192e-17
3708.0,2.7183578057284382e-17,2.5288966042387638e-17
3709.0,2.934567221648019e-17,2.5990608762095943e-17
3710.0,2.3985378412185296e-17,2.5844164706449555e-17
3711.0,2.8579222553631274e-17,2.5168862726167388e-17
3712.0,2.0126969427161015e-17,2.4312861486711788e-17
3713.0,2.380707051244421e-17,2.4527116154614048e-17
3714.0,2.506566530531017e-17,2.3266868441081333e-17
3715.0,2.5056653774990136e-17,2.4763489632095976e-17
3716.0,2.227797984208021e-17,2.4498178068064493e-17
3717.0,2.7610074665606027e-17,2.39343750712708e-17
3718.0,2.248051532355619e-17,2.19279541969336e-17
3719.0,2.2246649358837242e-17,2.0548857172989266e-17
3720.0,1.5024551673434075e-17,1.848586707092079e-17
3721.0,1.5382497339666366e-17,1.835945898407166e-17
3722.0,1.7295118953300252e-17,1.8310908445198474e-17
3723.0,2.184847990051188e-17,2.0436739458402603e-17
3724.0,2.2003897660316237e-17,2.253421306584719e-17
3725.0,2.565370281148752e-17,2.383580822947898e-17
3726.0,2.5869861341689456e-17,2.3256866173114342e-17
3727.0,2.3803101139610554e-17,2.4414457463906776e-17
3728.0,1.8953765987404692e-17,2.2827503186917667e-17
3729.0,2.779185344819083e-17,2.0820284910469966e-17
3730.0,1.7718932222827037e-17,1.916062642072112e-17
3731.0,1.5833773516296698e-17,1.9270067378845562e-17
3732.0,1.5504811207180635e-17,1.7277855813070798e-17
3733.0,1.9500967553375553e-17,1.876548224210454e-17
3734.0,1.783079138038731e-17,2.1038316485049143e-17
3735.0,2.5157070040699108e-17,2.23592891817106e-17
3736.0,2.7197938900646963e-17,2.435074139568304e-17
3737.0,2.2109680504626965e-17,2.52423693041213e-17
3738.0,2.9458227902982876e-17,2.5050752915223392e-17
3739.0,2.228892588858631e-17,2.4861548584991687e-17
3740.0,2.419899014399998e-17,2.5528264430515553e-17
3741.0,2.6251914887571354e-17,2.5268059879585973e-17
3742.0,2.5443265774255522e-17,2.5832891889061682e-17
3743.0,2.815720244376532e-17,2.6152104196168346e-17
3744.0,2.5113089716586665e-17,2.6407578928355348e-17
3745.0,2.5795052775563143e-17,2.6235148166584994e-17
3746.0,2.752928365453366e-17,2.5231251996688588e-17
3747.0,2.458111190050339e-17,2.4244700149876193e-17
3748.0,2.3137721687337672e-17,2.3257696662449345e-17
3749.0,2.0180331357454893e-17,2.3766404467363332e-17
3751.0,2.086003797721518e-17,2.360015936221365e-17
3752.0,3.007282311905989e-17,2.4622260123031123e-17
3753.0,2.3749883783628493e-17,2.5538387466851977e-17
3754.0,2.8248221173309645e-17,2.6643452788747294e-17
3755.0,2.476096884479888e-17,2.486260903053698e-17
3756.0,2.638536491608293e-17,2.532294827631254e-17
3757.0,2.116860606508592e-17,2.5145747991130207e-17
3758.0,2.6051580871304495e-17,2.5384267175121097e-17
3759.0,2.7362220181789018e-17,2.491844703060676e-17
3760.0,2.5953562328725054e-17,2.4789261271260678e-17
3761.0,2.405626506415114e-17,2.4818894189524778e-17
3762.0,2.0522681926939998e-17,2.374647768640693e-17
3763.0,2.619974317034621e-17,2.2452050869963523e-17
3764.0,2.2000134927627608e-17,2.235519629203969e-17
3765.0,1.94814280111378e-17,2.2266146990375905e-17
3766.0,2.357198918191324e-17,2.222606016353036e-17
3767.0,2.0077440910745218e-17,2.225100131336006e-17
3768.0,2.5999308398278284e-17,2.2096565038635184e-17
3769.0,2.2124840712370243e-17,2.1857559472444112e-17
3770.0,1.8709246164132213e-17,2.260689246318855e-17
3771.0,2.2376960756653004e-17,2.277170820023974e-17
3772.0,2.3824107610951556e-17,2.3926290207963706e-17
3773.0,2.6823389061209107e-17,2.4675896168310286e-17
3774.0,2.7897744125673264e-17,2.5010345142300176e-17
3775.0,2.245727613354394e-17,2.4622574451663893e-17
3776.0,2.4049209304544658e-17,2.4473433787220582e-17
3777.0,2.1885251064748516e-17,2.415714804512113e-17
3778.0,2.6077685966104944e-17,2.3782010056799757e-17
3780.0,2.6316316477671463e-17,2.3836233400313833e-17
3781.0,2.058158727639487e-17,2.423238343055528e-17
3782.0,2.4320322987250933e-17,2.492170943094267e-17
3783.0,2.3866008308123118e-17,2.4607281536499012e-17
3784.0,2.952431193643631e-17,2.5421134615022586e-17
3785.0,2.4744176090531435e-17,2.5291603094180457e-17
3786.0,2.465084917855491e-17,2.6073912467224933e-17
3787.0,2.3672672187898856e-17,2.4879185730012543e-17
3788.0,2.7777550790630557e-17,2.449814828956244e-17
3789.0,2.3550678779975682e-17,2.4250700518039653e-17
3790.0,2.2838993026043795e-17,2.5686436252886718e-17
3791.0,2.34136074526375e-17,2.4845564146834713e-17
3792.0,3.085135040168939e-17,2.4834698302308216e-17
3793.0,2.3573187983374578e-17,2.4950745124804506e-17
3794.0,2.3496352734515507e-17,2.4420161701410942e-17
3795.0,2.3419225199747375e-17,2.277313095089333e-17
3796.0,2.076068632097223e-17,2.281380507597379e-17
3797.0,2.2616201344348983e-17,2.2116069957479184e-17
3798.0,2.3776558707359654e-17,2.1735414674472082e-17
3799.0,2.0007680487464106e-17,2.3312884498557658e-17
3800.0,2.151594798790644e-17,2.3123271541103353e-17
3801.0,2.8648032509619195e-17,2.2595010840869838e-17
3802.0,2.1668138737674842e-17,2.297697803232845e-17
3803.0,2.1135250913413043e-17,2.390233836614662e-17
3804.0,2.1917515428316153e-17,2.3744975526414533e-17
3805.0,2.6142754718487866e-17,2.4360813146821487e-17
3806.0,2.7861217904908825e-17,2.403959740827122e-17
3807.0,2.4747328945132558e-17,2.41738107713804e-17
3808.0,1.95291737944024e-17,2.4102471406631376e-17
3809.0,2.2588582332059134e-17,2.357277141213202e-17
3810.0,2.5786053581608082e-17,2.3990322259181436e-17
3811.0,2.5212716360832158e-17,2.531457555415228e-17
3812.0,2.6835088032983654e-17,2.5533937235156442e-17
3813.0,2.6150438963597937e-17,2.5675924441662394e-17
3814.0,2.3685390427363686e-17,2.548427992862366e-17
3815.0,2.6495992754939648e-17,2.5846115198333955e-17
3816.0,2.4254489805218972e-17,2.598674251991287e-17
3817.0,2.864426219490392e-17,2.6660209813596393e-17
3818.0,2.685358163689022e-17,2.5904431431518943e-17
3819.0,2.7052722189465832e-17,2.6222636232639517e-17
3820.0,2.2717105239957614e-17,2.5520637825267814e-17
3821.0,2.584551057697546e-17,2.4967664277053665e-17
3822.0,2.5134265558528217e-17,2.3739911526704483e-17
3823.0,2.4088720772481838e-17,2.3738885822744917e-17
3824.0,2.091395636444925e-17,2.3504196484990147e-17
3825.0,2.2711978118772345e-17,2.3481328249775506e-17
3826.0,2.4672060563160603e-17,2.3601330649961024e-17
3827.0,2.501992351305491e-17,2.4474490924043425e-17
3828.0,2.4688737057812142e-17,2.5430190588368816e-17
3829.0,2.527975526815769e-17,2.6091842434182632e-17
3830.0,2.749047244783445e-17,2.5679034640765594e-17
3831.0,2.798032486093042e-17,2.4887558452172805e-17
3832.0,2.295588466164257e-17,2.316325248883049e-17
3833.0,2.0731359525781294e-17,2.157332367035864e-17
3834.0,1.6658223567695624e-17,2.0775410362238964e-17
3835.0,1.9540824270211522e-17,2.093653687375817e-17
3836.0,2.3990756973381015e-17,2.1286232440798636e-17
3837.0,2.3761524163466837e-17,2.2888641760352686e-17
3838.0,2.2479833005251192e-17,2.402807643669958e-17
3839.0,2.4670270653813273e-17,2.487236479868143e-17
3840.0,2.5237993686342172e-17,2.6467640512632823e-17
3841.0,2.821220216750389e-17,2.6854516193846325e-17
3842.0,3.1737904260212154e-17,2.6482392451677094e-17
3843.0,2.4414206552978578e-17,2.5724034920449703e-17
3844.0,2.2809659900204674e-17,2.452792679161435e-17
3845.0,2.1446200636531747e-17,2.2336071876277463e-17
3846.0,2.223166653356714e-17,2.2572079739928643e-17
3847.0,2.0778628686554203e-17,2.224670162853601e-17
3848.0,2.5594244867202906e-17,2.2782039686090527e-17
3849.0,2.1182769738425437e-17,2.3507238855283117e-17
3850.0,2.4122889520549347e-17,2.429987309673348e-17
3851.0,2.5857658997343626e-17,2.4111462859889827e-17
3852.0,2.474179735458385e-17,2.52595018689685e-17
3853.0,2.4652196194337922e-17,2.5112204162929956e-17
3854.0,2.692297057252131e-17,2.4541380057096913e-17
3855.0,2.3386397914651794e-17,2.3771023443903828e-17
3856.0,2.300354230284969e-17,2.408505098293101e-17
3857.0,2.0890009852443953e-17,2.3729427839620986e-17
3858.0,2.6222339246012495e-17,2.2947096959880584e-17
3859.0,2.5144853693994282e-17,2.298461787246599e-17
3860.0,1.947474531211355e-17,2.2955929594461425e-17
3861.0,2.3191141414060418e-17,2.1861422405904735e-17
3862.0,2.0746567823746183e-17,2.2313489845554765e-17
3863.0,2.0749803750547928e-17,2.335371909667695e-17
3864.0,2.740519364736502e-17,2.321356326804719e-17
3865.0,2.4675884925661217e-17,2.4024613858655435e-17
3866.0,2.2490363278192248e-17,2.4534499568761697e-17
3867.0,2.480182277210823e-17,2.4347518700016535e-17
3868.0,2.3299234328607546e-17,2.4083558749105963e-17
3869.0,2.6470287987207785e-17,2.4089390372424462e-17
3870.0,2.335608396636819e-17,2.4464566411054013e-17
