Wavelength(Angstrom),Flux(10e-16 erg/s/cm2),Flux_error(10e-16 erg/s/cm2)
4328.78100624,11.6907296798,0.308503097501
4329.9326198,11.2165055787,0.3061882491
4331.08423337,11.5021303825,0.324422618523
4332.23584693,11.6328360366,0.308311621733
4333.3874605,11.1211455508,0.295270987027
4334.53907406,10.7987944572,0.299259883551
4335.69068763,10.6727570134,0.316271018285
4336.84230119,11.0930949959,0.319236924002
4337.99391476,11.6968643159,0.304028348172
4339.14552832,11.4061181392,0.299985618734
4340.29714188,11.4431705366,0.312528820106
4341.44875545,11.5006628979,0.314091794417
4342.60036901,11.8665218388,0.314756616019
4343.75198258,11.1057295511,0.303775727213
4344.90359614,11.4211423861,0.302819969646
4346.05520971,11.1989232923,0.300676579243
4347.20682327,11.6345978651,0.319349453652
4348.35843684,11.6647469441,0.324346352471
4349.5100504,11.1413218756,0.31188074064
4350.66166397,11.714605421,0.313714566971
4351.81327753,11.5045941896,0.299601840017
4352.96489109,10.7538275956,0.28651329501
4354.11650466,9.79340658286,0.300098644692
4355.26811822,10.6505552211,0.295059063354
4356.41973179,11.4931359514,0.298689029667
4357.57134535,11.1260339897,0.296099160256
4358.72295892,11.6468374912,0.323121165635
4359.87457248,10.7015518985,0.294684449798
4361.02618605,9.90327099128,0.292038067408
4362.17779961,10.9068748025,0.292830870394
4363.32941318,10.4851212162,0.291658556943
4364.48102674,10.3341577103,0.290475622493
4365.6326403,11.0631375582,0.306324403029
4366.78425387,12.1931684483,0.308820734856
4367.93586743,11.7631139391,0.301677500871
4369.087481,11.8929895009,0.305330859852
4370.23909456,12.9549570585,0.32961767673
4371.39070813,12.1523287547,0.308251965467
4372.54232169,11.7640340286,0.300053116671
4373.69393526,11.8984708628,0.296625842696
4374.84554882,11.4598369687,0.296156599678
4375.99716239,11.2760329367,0.291731051052
4377.14877595,11.9144120229,0.313165583742
4378.30038951,12.3838609757,0.329325417276
4379.45200308,11.8558344006,0.296057172568
4380.60361664,11.6369166178,0.295235815307
4381.75523021,12.1005898647,0.297065505735
4382.90684377,11.7890511467,0.293222755481
4384.05845734,12.3812214092,0.324694396986
4385.2100709,10.7496993688,0.291512741545
4386.36168447,8.70896300598,0.25923279569
4387.51329803,8.99781712286,0.26074493148
4388.6649116,8.49331582915,0.256445792595
4389.81652516,8.91941257689,0.258761964485
4390.96813872,10.473657684,0.271088444537
4392.11975229,9.88694443122,0.274841396063
4393.27136585,9.88430274722,0.270982284177
4394.42297942,10.7969288671,0.278856646562
4395.57459298,10.9337628046,0.283300724034
4396.72620655,12.1331445172,0.294955566516
4397.87782011,11.6599887365,0.288787810084
4399.02943368,11.0878052752,0.283606251465
4400.18104724,11.8680157932,0.299841424609
4401.33266081,12.3207834909,0.3001322944
4402.48427437,12.1320931376,0.298634965142
4403.63588793,10.9165119198,0.282126789308
4404.7875015,11.4168712224,0.286694050517
4405.93911506,11.2917189281,0.292439084569
4407.09072863,10.5047363816,0.279397821206
4408.24234219,10.40616504,0.277653297294
4409.39395576,10.7854409828,0.284464434807
4410.54556932,10.6586941489,0.290335994405
4411.69718289,11.1754467154,0.311319812923
4412.84879645,10.5179193907,0.280121438806
4414.00041002,11.0716258871,0.285624539072
4415.15202358,10.5418258368,0.283358957549
4416.30363714,10.4891922683,0.28602237986
4417.45525071,11.6417711754,0.294619731187
4418.60686427,11.8645598988,0.300492515013
4419.75847784,10.8993467971,0.281193663403
4420.9100914,10.054970357,0.284369275949
4422.06170497,10.9874435176,0.292773794932
4423.21331853,12.3068445049,0.293552932895
4424.3649321,11.0809294852,0.300573082405
4425.51654566,10.2039570996,0.294053145555
4426.66815923,10.1795000821,0.28001254875
4427.81977279,10.0635105667,0.280092288961
4428.97138635,10.1848776825,0.272222757311
4430.12299992,11.066322402,0.279418699245
4431.27461348,11.1427671255,0.280403011086
4432.42622705,10.2061625617,0.267902029012
